path,emotion
archive (3)/Test/fear/image0023375.jpg,Strach
archive (3)/Train/surprise/image0030965.jpg,Zaskoczenie
archive (3)/Train/surprise/image0033244.jpg,Zaskoczenie
archive (3)/Test/Anger/image0017007.jpg,Złość
archive (3)/Train/sad/image0019820.jpg,Smutek
archive (3)/Test/fear/image0031312.jpg,Strach
archive (3)/Train/surprise/image0025682.jpg,Zaskoczenie
archive (3)/Train/sad/image0004490.jpg,Smutek
archive (3)/Test/happy/ffhq_2419.png,Szczęście
archive (3)/Train/happy/ffhq_3410.png,Szczęście
archive (3)/Test/Anger/image0014804.jpg,Złość
archive (3)/Train/anger/image0023528.jpg,Złość
archive (3)/Train/surprise/image0031938.jpg,Zaskoczenie
archive (3)/Test/happy/ffhq_705.png,Szczęście
archive (3)/Train/sad/image0029040.jpg,Smutek
archive (3)/Test/Anger/image0004071.jpg,Złość
archive (3)/Train/sad/image0026306.jpg,Smutek
archive (3)/Test/sad/image0018314.jpg,Smutek
archive (3)/Test/surprise/image0016353.jpg,Zaskoczenie
archive (3)/Train/sad/image0021141.jpg,Smutek
archive (3)/Test/happy/ffhq_2067.png,Szczęście
archive (3)/Train/anger/image0027515.jpg,Złość
archive (3)/Train/surprise/image0031378.jpg,Zaskoczenie
archive (3)/Train/fear/image0040793.jpg,Strach
archive (3)/Test/fear/image0034473.jpg,Strach
archive (3)/Train/sad/image0020350.jpg,Smutek
archive (3)/Test/surprise/ffhq_300.png,Zaskoczenie
archive (3)/Train/anger/image0022267.jpg,Złość
archive (3)/Train/anger/image0026344.jpg,Złość
archive (3)/Train/surprise/image0029971.jpg,Zaskoczenie
archive (3)/Train/surprise/image0032924.jpg,Zaskoczenie
archive (3)/Test/happy/ffhq_2180.png,Szczęście
archive (3)/Train/sad/image0026563.jpg,Smutek
archive (3)/Test/sad/image0011860.jpg,Smutek
archive (3)/Test/surprise/ffhq_167.png,Zaskoczenie
archive (3)/Train/fear/image0037181.jpg,Strach
archive (3)/Test/happy/ffhq_1885.png,Szczęście
archive (3)/Test/happy/ffhq_1327.png,Szczęście
archive (3)/Train/happy/ffhq_4633.png,Szczęście
archive (3)/Test/surprise/image0017867.jpg,Zaskoczenie
archive (3)/Test/fear/image0022322.jpg,Strach
archive (3)/Train/happy/ffhq_3095.png,Szczęście
archive (3)/Test/fear/image0030959.jpg,Strach
archive (3)/Test/fear/image0032215.jpg,Strach
archive (3)/Train/sad/image0016654.jpg,Smutek
archive (3)/Train/happy/image0031576.jpg,Szczęście
archive (3)/Train/sad/image0028200.jpg,Smutek
archive (3)/Train/sad/image0011872.jpg,Smutek
archive (3)/Test/happy/ffhq_2506.png,Szczęście
archive (3)/Test/happy/ffhq_2270.png,Szczęście
archive (3)/Train/happy/ffhq_4037.png,Szczęście
archive (3)/Test/fear/image0024252.jpg,Strach
archive (3)/Test/Anger/image0021398.jpg,Złość
archive (3)/Train/surprise/image0025111.jpg,Zaskoczenie
archive (3)/Train/happy/ffhq_2723.png,Szczęście
archive (3)/Test/surprise/ffhq_326.png,Zaskoczenie
archive (3)/Test/Anger/image0006895.jpg,Złość
archive (3)/Train/surprise/image0032024.jpg,Zaskoczenie
archive (3)/Test/happy/ffhq_537.png,Szczęście
archive (3)/Train/anger/image0030562.jpg,Złość
archive (3)/Train/surprise/image0033148.jpg,Zaskoczenie
archive (3)/Test/surprise/image0001279.jpg,Zaskoczenie
archive (3)/Test/sad/image0004426.jpg,Smutek
archive (3)/Train/sad/image0020686.jpg,Smutek
archive (3)/Train/sad/image0022910.jpg,Smutek
archive (3)/Train/anger/image0026505.jpg,Złość
archive (3)/Train/surprise/image0032011.jpg,Zaskoczenie
archive (3)/Train/sad/image0023685.jpg,Smutek
archive (3)/Test/happy/ffhq_518.png,Szczęście
archive (3)/Train/happy/ffhq_4390.png,Szczęście
archive (3)/Train/surprise/image0034345.jpg,Zaskoczenie
archive (3)/Test/Anger/image0012464.jpg,Złość
archive (3)/Train/surprise/image0028766.jpg,Zaskoczenie
archive (3)/Train/anger/image0023081.jpg,Złość
archive (3)/Train/fear/image0037450.jpg,Strach
archive (3)/Train/happy/ffhq_3428.png,Szczęście
archive (3)/Train/surprise/image0032877.jpg,Zaskoczenie
archive (3)/Train/surprise/image0025493.jpg,Zaskoczenie
archive (3)/Test/surprise/ffhq_459.png,Zaskoczenie
archive (3)/Train/happy/ffhq_4126.png,Szczęście
archive (3)/Test/Anger/image0020486.jpg,Złość
archive (3)/Test/happy/ffhq_1611.png,Szczęście
archive (3)/Test/Anger/image0004411.jpg,Złość
archive (3)/Test/Anger/image0016210.jpg,Złość
archive (3)/Train/sad/image0027770.jpg,Smutek
archive (3)/Train/fear/image0037320.jpg,Strach
archive (3)/Test/Anger/image0018717.jpg,Złość
archive (3)/Test/fear/image0025535.jpg,Strach
archive (3)/Train/anger/image0030718.jpg,Złość
archive (3)/Test/happy/ffhq_1683.png,Szczęście
archive (3)/Train/anger/image0022258.jpg,Złość
archive (3)/Test/surprise/image0020678.jpg,Zaskoczenie
archive (3)/Test/sad/image0012228.jpg,Smutek
archive (3)/Train/happy/ffhq_3209.png,Szczęście
archive (3)/Test/fear/image0029131.jpg,Strach
archive (3)/Test/surprise/image0020623.jpg,Zaskoczenie
archive (3)/Train/sad/image0014263.jpg,Smutek
archive (3)/Test/surprise/image0009402.jpg,Zaskoczenie
archive (3)/Train/happy/ffhq_3434.png,Szczęście
archive (3)/Test/sad/image0002688.jpg,Smutek
archive (3)/Train/fear/image0039038.jpg,Strach
archive (3)/Train/surprise/image0031827.jpg,Zaskoczenie
archive (3)/Train/sad/image0017524.jpg,Smutek
archive (3)/Test/happy/ffhq_2551.png,Szczęście
archive (3)/Test/happy/ffhq_598.png,Szczęście
archive (3)/Train/anger/image0028426.jpg,Złość
archive (3)/Train/anger/image0030715.jpg,Złość
archive (3)/Test/surprise/image0010174.jpg,Zaskoczenie
archive (3)/Test/happy/ffhq_16.png,Szczęście
archive (3)/Test/fear/image0029439.jpg,Strach
archive (3)/Train/happy/ffhq_2704.png,Szczęście
archive (3)/Test/fear/image0035285.jpg,Strach
archive (3)/Test/surprise/ffhq_177.png,Zaskoczenie
archive (3)/Train/anger/image0025428.jpg,Złość
archive (3)/Train/sad/image0013477.jpg,Smutek
archive (3)/Test/sad/image0003102.jpg,Smutek
archive (3)/Train/sad/image0021972.jpg,Smutek
archive (3)/Test/Anger/image0009177.jpg,Złość
archive (3)/Test/happy/ffhq_754.png,Szczęście
archive (3)/Test/sad/image0007937.jpg,Smutek
archive (3)/Train/anger/image0025723.jpg,Złość
